gene_id	GOs
LOC124121927	GO:0000981,GO:0000982,GO:0001067,GO:0001077,GO:0001228,GO:0001655,GO:0001700,GO:0001822,GO:0003008,GO:0003012,GO:0003299,GO:0003300,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006950,GO:0007043,GO:0007275,GO:0007399,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009790,GO:0009792,GO:0009888,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010001,GO:0010035,GO:0010038,GO:0010272,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010628,GO:0010827,GO:0010828,GO:0014887,GO:0014888,GO:0014896,GO:0014897,GO:0014898,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022008,GO:0022607,GO:0030154,GO:0030855,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031400,GO:0031974,GO:0031981,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032774,GO:0032835,GO:0032879,GO:0034329,GO:0034330,GO:0034332,GO:0034333,GO:0034641,GO:0034645,GO:0034654,GO:0034762,GO:0034764,GO:0035850,GO:0036058,GO:0036059,GO:0042063,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043500,GO:0043565,GO:0044085,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045216,GO:0045893,GO:0045935,GO:0045944,GO:0046324,GO:0046326,GO:0046483,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051050,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051248,GO:0051252,GO:0051254,GO:0060255,GO:0060429,GO:0061005,GO:0061318,GO:0061319,GO:0061320,GO:0061321,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0072001,GO:0072006,GO:0072009,GO:0072010,GO:0072073,GO:0072112,GO:0072311,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1900076,GO:1900078,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901983,GO:1901984,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000756,GO:2000757,GO:2001141,GO:2001273,GO:2001275
LOC124123527	GO:0000245,GO:0000350,GO:0000375,GO:0000377,GO:0000389,GO:0000393,GO:0000398,GO:0000974,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005681,GO:0006139,GO:0006259,GO:0006281,GO:0006283,GO:0006289,GO:0006376,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016071,GO:0022607,GO:0022613,GO:0022618,GO:0031974,GO:0031981,GO:0032991,GO:0033554,GO:0034622,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0065003,GO:0070013,GO:0071012,GO:0071013,GO:0071014,GO:0071020,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1902494,GO:1990904
LOC124124479	GO:0000288,GO:0000290,GO:0000291,GO:0000339,GO:0000340,GO:0000375,GO:0000377,GO:0000398,GO:0000932,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0004779,GO:0004780,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005829,GO:0006139,GO:0006163,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006725,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008380,GO:0009056,GO:0009057,GO:0009117,GO:0009150,GO:0009259,GO:0009266,GO:0009408,GO:0009628,GO:0009892,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0010941,GO:0016070,GO:0016071,GO:0016462,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0016819,GO:0019222,GO:0019439,GO:0019637,GO:0019693,GO:0031974,GO:0031981,GO:0032991,GO:0034641,GO:0034655,GO:0035690,GO:0035770,GO:0036245,GO:0036464,GO:0042221,GO:0042493,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043928,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045292,GO:0046483,GO:0046700,GO:0047627,GO:0048519,GO:0048523,GO:0050072,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055086,GO:0060255,GO:0060548,GO:0065007,GO:0070013,GO:0070566,GO:0070887,GO:0071310,GO:0071704,GO:0072521,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0097159,GO:0140098,GO:1901135,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901575,GO:1901654,GO:1901655,GO:1901700,GO:1901701,GO:1990904
LOC124125367	GO:0000104,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005749,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006119,GO:0006121,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008177,GO:0008340,GO:0009060,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0010259,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016627,GO:0016635,GO:0016999,GO:0017144,GO:0019637,GO:0019693,GO:0019752,GO:0019866,GO:0020037,GO:0022900,GO:0022904,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032991,GO:0034641,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045257,GO:0045273,GO:0045281,GO:0045283,GO:0045333,GO:0046034,GO:0046483,GO:0046906,GO:0048037,GO:0048856,GO:0050896,GO:0055086,GO:0055114,GO:0070469,GO:0071704,GO:0072350,GO:0072521,GO:0097159,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901363,GO:1901564,GO:1902494,GO:1990204
LOC124127277	GO:0000768,GO:0005575,GO:0006949,GO:0007520,GO:0008150,GO:0009653,GO:0009987,GO:0014902,GO:0016020,GO:0030154,GO:0032502,GO:0042692,GO:0048646,GO:0048856,GO:0048869,GO:0051146,GO:0061061
LOC124127540	GO:0003674,GO:0005488,GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0006950,GO:0006952,GO:0006954,GO:0007155,GO:0007160,GO:0008150,GO:0009966,GO:0009967,GO:0010646,GO:0010647,GO:0010941,GO:0010942,GO:0016020,GO:0016021,GO:0022610,GO:0023051,GO:0023056,GO:0030246,GO:0031224,GO:0031589,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0044425,GO:0044464,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070228,GO:0070230,GO:0070232,GO:0070234,GO:0071944,GO:0098609,GO:2000106,GO:2000108,GO:2001233,GO:2001235,GO:2001236,GO:2001238
LOC124128726	GO:0000003,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000987,GO:0001012,GO:0001067,GO:0001708,GO:0001764,GO:0002119,GO:0002164,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006915,GO:0006928,GO:0007154,GO:0007165,GO:0007166,GO:0007264,GO:0007265,GO:0007267,GO:0007275,GO:0007399,GO:0007548,GO:0008150,GO:0008219,GO:0009653,GO:0009791,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0012501,GO:0016055,GO:0016477,GO:0019219,GO:0019222,GO:0022008,GO:0022414,GO:0023052,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0035556,GO:0040011,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0045138,GO:0045165,GO:0046661,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051179,GO:0051252,GO:0051402,GO:0051674,GO:0051716,GO:0060255,GO:0065007,GO:0070997,GO:0080090,GO:0090598,GO:0097159,GO:0140110,GO:0198738,GO:1901363,GO:1903506,GO:1905114,GO:1990837,GO:2000112,GO:2001141
LOC124129056	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008092,GO:0008150,GO:0008152,GO:0009987,GO:0015631,GO:0016874,GO:0016879,GO:0016881,GO:0018095,GO:0018193,GO:0018200,GO:0019538,GO:0036211,GO:0043014,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0048487,GO:0070739,GO:0070740,GO:0071704,GO:0140096,GO:1901564
LOC124130918	GO:0000981,GO:0003674,GO:0003700,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141
LOC124131275	GO:0000003,GO:0000139,GO:0001525,GO:0001568,GO:0001655,GO:0001822,GO:0001944,GO:0002064,GO:0002065,GO:0002066,GO:0002682,GO:0002683,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005795,GO:0005797,GO:0006464,GO:0006486,GO:0006493,GO:0006629,GO:0006643,GO:0006664,GO:0006807,GO:0007275,GO:0007399,GO:0007417,GO:0007528,GO:0008150,GO:0008152,GO:0008378,GO:0008610,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009247,GO:0009653,GO:0009888,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016263,GO:0016266,GO:0016267,GO:0016740,GO:0016757,GO:0016758,GO:0019538,GO:0021551,GO:0030154,GO:0030855,GO:0031090,GO:0031224,GO:0031344,GO:0031984,GO:0031985,GO:0032501,GO:0032502,GO:0032504,GO:0034645,GO:0035239,GO:0035295,GO:0036211,GO:0042692,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045595,GO:0045596,GO:0046467,GO:0048468,GO:0048513,GO:0048514,GO:0048519,GO:0048523,GO:0048531,GO:0048565,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050808,GO:0051093,GO:0051128,GO:0051239,GO:0051241,GO:0051489,GO:0055001,GO:0055123,GO:0060429,GO:0060491,GO:0060575,GO:0060576,GO:0061061,GO:0065007,GO:0070085,GO:0071704,GO:0071840,GO:0072001,GO:0072358,GO:0072359,GO:0098588,GO:0098791,GO:0120032,GO:0120035,GO:0140096,GO:0140103,GO:1901135,GO:1901137,GO:1901532,GO:1901533,GO:1901564,GO:1901566,GO:1901576,GO:1902036,GO:1902037,GO:1903509,GO:1903706,GO:1903707,GO:2000026,GO:2000736,GO:2000737
